"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	14	"CITED2"	141.5	"HiG"
"HiG_1"	2194	"CCNB1"	8	"HiG"
"HiG_1"	79	"ANXA5"	117	"HiG"
"HiG_1"	1463	"FGFR1"	19	"HiG"
"HiG_1"	160	"ID3"	99.5	"HiG"
"HiG_1"	694	"LEF1"	39	"HiG"
"HiG_1"	166	"SRSF9"	97	"HiG"
"HiG_1"	0	"ANP32A"	219.5	"HiG"
"HiG_1"	123	"MCM7"	106	"HiG"
"HiG_1"	2000	"EZH2"	11	"HiG"
"HiG_1"	14	"RAP1A"	141.5	"HiG"
"HiG_1"	0	"CITED1"	219.5	"HiG"
"HiG_1"	372	"MAGED1"	61	"HiG"
"HiG_1"	176	"NDN"	92	"HiG"
"HiG_1"	26	"ID2"	134	"HiG"
"HiG_1"	454	"SERPINH1"	58	"HiG"
"HiG_1"	79	"CADM1"	117	"HiG"
"HiG_1"	261	"KHDRBS1"	75.5	"HiG"
"HiG_1"	0	"CLNS1A"	219.5	"HiG"
"HiG_1"	1404	"NEDD4"	20	"HiG"
"HiG_1"	961	"EIF4A1"	28	"HiG"
"HiG_1"	0	"BTG1"	219.5	"HiG"
"HiG_1"	0	"PRDX4"	219.5	"HiG"
"HiG_1"	1	"MT-ND2"	163.5	"HiG"
"HiG_1"	0	"LMO4"	219.5	"HiG"
"HiG_1"	65	"CCNE1"	122	"HiG"
"HiG_1"	542	"BNIP3L"	51	"HiG"
"HiG_1"	0	"ITM2C"	219.5	"HiG"
"HiG_1"	233	"HOXA1"	87	"HiG"
"HiG_1"	0	"PLSCR1"	219.5	"HiG"
"HiG_1"	0	"DCTPP1"	219.5	"HiG"
"HiG_1"	260	"BEX3"	77.5	"HiG"
"HiG_1"	0	"PDLIM4"	219.5	"HiG"
"HiG_1"	28	"DUT"	131.5	"HiG"
"HiG_1"	0	"BEX2"	219.5	"HiG"
"HiG_1"	99	"RBMX"	110.5	"HiG"
"HiG_1"	111	"DUSP6"	108	"HiG"
"HiG_1"	667	"CALM2"	43	"HiG"
"HiG_1"	0	"GCSH"	219.5	"HiG"
"HiG_1"	335	"DDAH2"	67	"HiG"
"HiG_1"	132	"ARL6IP1"	104	"HiG"
"HiG_1"	1	"PRPS1"	163.5	"HiG"
"HiG_1"	0	"PAFAH1B3"	219.5	"HiG"
"HiG_1"	798	"EPB41L3"	35	"HiG"
"HiG_1"	261	"BNIP3"	75.5	"HiG"
"HiG_1"	0	"BCCIP"	219.5	"HiG"
"HiG_1"	6	"RTN4"	150	"HiG"
"HiG_1"	1507	"HDAC1"	18	"HiG"
"HiG_1"	7382	"HSPA5"	1	"HiG"
"HiG_1"	444	"RUVBL2"	59	"HiG"
"HiG_1"	1726	"CDC20"	14	"HiG"
"HiG_1"	0	"TCEAL9"	219.5	"HiG"
"HiG_1"	355	"PPP1CB"	63	"HiG"
"HiG_1"	76	"LYAR"	119	"HiG"
"HiG_1"	300	"FKBP4"	69	"HiG"
"HiG_1"	61	"IGF2BP1"	124	"HiG"
"HiG_1"	28	"NASP"	131.5	"HiG"
"HiG_1"	12	"FBLN1"	144	"HiG"
"HiG_1"	0	"BZW2"	219.5	"HiG"
"HiG_1"	0	"PRKRA"	219.5	"HiG"
"HiG_1"	51	"PAICS"	127	"HiG"
"HiG_1"	0	"BIRC5"	219.5	"HiG"
"HiG_1"	179	"FSCN1"	91	"HiG"
"HiG_1"	0	"ATXN10"	219.5	"HiG"
"HiG_1"	264	"DNAJA1"	74	"HiG"
"HiG_1"	406	"GNAS"	60	"HiG"
"HiG_1"	1268	"FBL"	21	"HiG"
"HiG_1"	0	"DDT"	219.5	"HiG"
"HiG_1"	85	"SFXN1"	115	"HiG"
"HiG_1"	154	"HNRNPH3"	102	"HiG"
"HiG_1"	1546	"PRMT1"	17	"HiG"
"HiG_1"	170	"EBNA1BP2"	95	"HiG"
"HiG_1"	672	"PA2G4"	42	"HiG"
"HiG_1"	96	"PDIA6"	112.5	"HiG"
"HiG_1"	24	"MEST"	136	"HiG"
"HiG_1"	5948	"NCL"	2	"HiG"
"HiG_1"	64	"HNRNPA3"	123	"HiG"
"HiG_1"	0	"FABP5"	219.5	"HiG"
"HiG_1"	831	"CBX1"	32	"HiG"
"HiG_1"	60	"CCND1"	125	"HiG"
"HiG_1"	818	"MAPK3"	33	"HiG"
"HiG_1"	96	"PTOV1"	112.5	"HiG"
"HiG_1"	3759	"HSP90AA1"	5	"HiG"
"HiG_1"	0	"TSEN34"	219.5	"HiG"
"HiG_1"	5134	"PCNA"	3	"HiG"
"HiG_1"	350	"ID1"	64	"HiG"
"HiG_1"	3	"FOXP1"	157	"HiG"
"HiG_1"	22	"RALA"	138	"HiG"
"HiG_1"	0	"PFN2"	219.5	"HiG"
"HiG_1"	18	"DBN1"	139	"HiG"
"HiG_1"	149	"JAM3"	103	"HiG"
"HiG_1"	348	"APOE"	65	"HiG"
"HiG_1"	1240	"STMN1"	23	"HiG"
"HiG_1"	737	"GJA1"	38	"HiG"
"HiG_1"	0	"SAP30"	219.5	"HiG"
"HiG_1"	577	"NCAM1"	49.5	"HiG"
"HiG_1"	36	"HMGA2"	129	"HiG"
"HiG_1"	0	"MAT2A"	219.5	"HiG"
"HiG_1"	1104	"RRM2"	26	"HiG"
"HiG_1"	28	"DEK"	131.5	"HiG"
"HiG_1"	1184	"RBBP4"	25	"HiG"
"HiG_1"	2144	"RBBP7"	9	"HiG"
"HiG_1"	0	"ADH5"	219.5	"HiG"
"HiG_1"	467	"CD81"	56	"HiG"
"HiG_1"	0	"FXYD6"	219.5	"HiG"
"HiG_1"	1	"IVNS1ABP"	163.5	"HiG"
"HiG_1"	492	"DKC1"	55	"HiG"
"HiG_1"	9	"PTN"	146	"HiG"
"HiG_1"	86	"ACIN1"	114	"HiG"
"HiG_1"	0	"SPTSSA"	219.5	"HiG"
"HiG_1"	1623	"TRIM28"	15	"HiG"
"HiG_1"	1804	"UBC"	12	"HiG"
"HiG_1"	0	"ARL3"	219.5	"HiG"
"HiG_1"	0	"GSTO1"	219.5	"HiG"
"HiG_1"	1048	"SERBP1"	27	"HiG"
"HiG_1"	754	"PPA1"	37	"HiG"
"HiG_1"	526	"SFPQ"	53	"HiG"
"HiG_1"	4702	"HSPD1"	4	"HiG"
"HiG_1"	0	"ACVR2B"	219.5	"HiG"
"HiG_1"	2353	"FN1"	7	"HiG"
"HiG_1"	0	"TEAD2"	219.5	"HiG"
"HiG_1"	841	"APEX1"	31	"HiG"
"HiG_1"	260	"SRSF11"	77.5	"HiG"
"HiG_1"	0	"BEX1"	219.5	"HiG"
"HiG_1"	457	"HOXB1"	57	"HiG"
"HiG_1"	0	"GDI2"	219.5	"HiG"
"HiG_1"	247	"HMGN1"	86	"HiG"
"HiG_1"	115	"PBX1"	107	"HiG"
"HiG_1"	99	"ARL4A"	110.5	"HiG"
"HiG_1"	800	"FST"	34	"HiG"
"HiG_1"	1245	"MARCKS"	22	"HiG"
"HiG_1"	59	"ARF4"	126	"HiG"
"HiG_1"	933	"CCT8"	29	"HiG"
"HiG_1"	0	"FBN2"	219.5	"HiG"
"HiG_1"	160	"TCF3"	99.5	"HiG"
"HiG_1"	0	"TPM4"	219.5	"HiG"
"HiG_1"	3	"CSRP2"	157	"HiG"
"HiG_1"	0	"TFPI"	219.5	"HiG"
"HiG_1"	17	"MEOX1"	140	"HiG"
"HiG_1"	3	"FHL1"	157	"HiG"
"HiG_1"	2	"ALDOC"	161	"HiG"
"HiG_1"	250	"PRDX1"	84.5	"HiG"
"HiG_1"	0	"MPZL1"	219.5	"HiG"
"HiG_1"	0	"CALD1"	219.5	"HiG"
"HiG_1"	258	"MT-ND1"	81	"HiG"
"HiG_1"	24	"SDC1"	136	"HiG"
"HiG_1"	0	"PSIP1"	219.5	"HiG"
"HiG_1"	9	"SNX6"	146	"HiG"
"HiG_1"	9	"TPM1"	146	"HiG"
"HiG_1"	0	"GNL3"	219.5	"HiG"
"HiG_1"	3	"LMNB1"	157	"HiG"
"HiG_1"	3	"GLRX"	157	"HiG"
"HiG_1"	322	"SLBP"	68	"HiG"
"HiG_1"	24	"EIF4A3"	136	"HiG"
"HiG_1"	125	"PCLAF"	105	"HiG"
"HiG_1"	1588	"PKM"	16	"HiG"
"HiG_1"	267	"ARG1"	72	"HiG"
"HiG_1"	1734	"TUBA1A"	13	"HiG"
"HiG_1"	0	"CKAP4"	219.5	"HiG"
"HiG_1"	6	"NOP10"	150	"HiG"
"HiG_1"	0	"ATXN7L3B"	219.5	"HiG"
"HiG_1"	642	"HNRNPDL"	45	"HiG"
"HiG_1"	297	"NOP58"	70	"HiG"
"HiG_1"	7	"ANP32E"	148	"HiG"
"HiG_1"	4	"HELLS"	153	"HiG"
"HiG_1"	0	"NSUN2"	219.5	"HiG"
"HiG_1"	0	"FOXC2"	219.5	"HiG"
"HiG_1"	0	"PAIP2"	219.5	"HiG"
"HiG_1"	1	"HADH"	163.5	"HiG"
"HiG_1"	2129	"YWHAE"	10	"HiG"
"HiG_1"	3	"TSC22D1"	157	"HiG"
"HiG_1"	0	"SIX1"	219.5	"HiG"
"HiG_1"	100	"MEIS2"	109	"HiG"
"HiG_1"	577	"RBP1"	49.5	"HiG"
"HiG_1"	359	"HAT1"	62	"HiG"
"HiG_1"	0	"MRTO4"	219.5	"HiG"
"HiG_1"	0	"CNN3"	219.5	"HiG"
"HiG_1"	28	"PSAT1"	131.5	"HiG"
"HiG_1"	623	"NOP56"	46	"HiG"
"HiG_1"	0	"DCAKD"	219.5	"HiG"
"HiG_1"	0	"IER2"	219.5	"HiG"
"HiG_1"	844	"PRDX6"	30	"HiG"
"HiG_1"	789	"PRDX2"	36	"HiG"
"HiG_1"	192	"HSD17B10"	90	"HiG"
"HiG_1"	6	"SOX4"	150	"HiG"
"HiG_1"	1198	"MYCN"	24	"HiG"
"HiG_1"	3147	"YWHAQ"	6	"HiG"
"HiG_1"	68	"IMPDH2"	121	"HiG"
"HiG_1"	0	"HMGN3"	219.5	"HiG"
"HiG_1"	0	"PNRC1"	219.5	"HiG"
"HiG_1"	74	"TRA2A"	120	"HiG"
"HiG_1"	0	"DBI"	219.5	"HiG"
"HiG_1"	0	"TTC3"	219.5	"HiG"
"HiG_1"	156	"CRABP1"	101	"HiG"
"HiG_1"	213	"ODC1"	89	"HiG"
"HiG_1"	528	"NPM3"	52	"HiG"
"HiG_1"	690	"TWIST1"	40	"HiG"
"HiG_1"	170	"BASP1"	95	"HiG"
"HiG_1"	0	"RRS1"	219.5	"HiG"
"HiG_1"	0	"LAPTM4B"	219.5	"HiG"
"HiG_1"	265	"SRM"	73	"HiG"
"HiG_1"	0	"LDHB"	219.5	"HiG"
"HiG_1"	0	"HMGB3"	219.5	"HiG"
"HiG_1"	170	"SLC25A5"	95	"HiG"
"HiG_1"	0	"ARMCX2"	219.5	"HiG"
"HiG_1"	0	"FZD2"	219.5	"HiG"
"HiG_1"	5	"CRABP2"	152	"HiG"
"HiG_1"	0	"RAB34"	219.5	"HiG"
"HiG_1"	0	"PLP2"	219.5	"HiG"
"HiG_1"	0	"PCBP4"	219.5	"HiG"
"HiG_1"	0	"TBCB"	219.5	"HiG"
"HiG_1"	0	"SKAP2"	219.5	"HiG"
"HiG_1"	172	"TKT"	93	"HiG"
"HiG_1"	250	"FERMT2"	84.5	"HiG"
"HiG_1"	0	"LRRC42"	219.5	"HiG"
"HiG_1"	0	"RANGRF"	219.5	"HiG"
"HiG_1"	257	"CFL2"	82.5	"HiG"
"HiG_1"	0	"RCN2"	219.5	"HiG"
"HiG_1"	504	"TUBB2B"	54	"HiG"
"HiG_1"	340	"ALDH1A2"	66	"HiG"
"HiG_1"	0	"BCAT1"	219.5	"HiG"
"HiG_1"	257	"TECR"	82.5	"HiG"
"HiG_1"	0	"PPID"	219.5	"HiG"
"HiG_1"	0	"ADK"	219.5	"HiG"
"HiG_1"	0	"MTAP"	219.5	"HiG"
"HiG_1"	259	"IGFBP4"	79.5	"HiG"
"HiG_1"	79	"SMS"	117	"HiG"
"HiG_1"	163	"UBE2R2"	98	"HiG"
"HiG_1"	225	"NMRAL1"	88	"HiG"
"HiG_1"	0	"GPX3"	219.5	"HiG"
"HiG_1"	0	"LIMD2"	219.5	"HiG"
"HiG_1"	0	"SMOC1"	219.5	"HiG"
"HiG_1"	0	"TXNDC12"	219.5	"HiG"
"HiG_1"	0	"METTL9"	219.5	"HiG"
"HiG_1"	0	"EPOP"	219.5	"HiG"
"HiG_1"	0	"TNFAIP1"	219.5	"HiG"
"HiG_1"	0	"CDCA7"	219.5	"HiG"
"HiG_1"	0	"OAF"	219.5	"HiG"
"HiG_1"	0	"EMB"	219.5	"HiG"
"HiG_1"	0	"TSPAN3"	219.5	"HiG"
"HiG_1"	601	"GPC3"	47	"HiG"
"HiG_1"	0	"MTCH1"	219.5	"HiG"
"HiG_1"	0	"PPP1R1A"	219.5	"HiG"
"HiG_1"	0	"FSTL1"	219.5	"HiG"
"HiG_1"	0	"IFT74"	219.5	"HiG"
"HiG_1"	0	"WLS"	219.5	"HiG"
"HiG_1"	0	"HMGN5"	219.5	"HiG"
"HiG_1"	0	"TIMM8B"	219.5	"HiG"
"HiG_1"	0	"RSPO3"	219.5	"HiG"
"HiG_1"	0	"BEX4"	219.5	"HiG"
"HiG_1"	0	"OAZ2"	219.5	"HiG"
"HiG_1"	0	"SLC16A3"	219.5	"HiG"
"HiG_1"	0	"PLPP3"	219.5	"HiG"
"HiG_1"	288	"RBMXL1"	71	"HiG"
"HiG_1"	0	"PRTG"	219.5	"HiG"
"HiG_1"	0	"SOX11"	219.5	"HiG"
"HiG_1"	0	"GAS1"	219.5	"HiG"
"HiG_1"	648	"HOXB2"	44	"HiG"
"HiG_1"	259	"MFAP2"	79.5	"HiG"
"HiG_1"	685	"IFITM1"	41	"HiG"
"HiG_1"	0	"TCF15"	219.5	"HiG"
"HiG_1"	0	"TSPAN6"	219.5	"HiG"
"HiG_1"	39	"SELENOH"	128	"HiG"
"HiG_1"	13	"ZCCHC3"	143	"HiG"
"HiG_1"	3	"RASL11A"	157	"HiG"
"HiG_1"	0	"PPDPF"	219.5	"HiG"
"HiG_1"	0	"PIGX"	219.5	"HiG"
"HiG_1"	0	"TGIF1"	219.5	"HiG"
"HiG_1"	0	"TCEAL8"	219.5	"HiG"
"HiG_1"	578	"PRRX2"	48	"HiG"
"HiG_1"	0	"MOGAT2"	219.5	"HiG"
"HiG_1"	0	"ZFP36L1"	219.5	"HiG"
"HiG_1"	0	"WSB1"	219.5	"HiG"
"HiG_2"	1124	"ALDOA"	46	"HiG"
"HiG_2"	0	"CITED2"	316.5	"HiG"
"HiG_2"	517	"CCNB1"	89	"HiG"
"HiG_2"	882	"EIF3E"	57	"HiG"
"HiG_2"	6159	"HNRNPA1"	7	"HiG"
"HiG_2"	67	"ID3"	174	"HiG"
"HiG_2"	367	"AFDN"	115	"HiG"
"HiG_2"	0	"ANP32A"	316.5	"HiG"
"HiG_2"	48	"MCM7"	181	"HiG"
"HiG_2"	372	"FHL2"	104.5	"HiG"
"HiG_2"	1935	"FOS"	24	"HiG"
"HiG_2"	1119	"FKBP1A"	47	"HiG"
"HiG_2"	1024	"TNNC1"	51	"HiG"
"HiG_2"	254	"MAGED1"	131.5	"HiG"
"HiG_2"	1	"DAB2"	235.5	"HiG"
"HiG_2"	272	"NDN"	130	"HiG"
"HiG_2"	15	"ID2"	206	"HiG"
"HiG_2"	285	"CDKN1C"	127	"HiG"
"HiG_2"	791	"SERPINH1"	61	"HiG"
"HiG_2"	0	"CADM1"	316.5	"HiG"
"HiG_2"	535	"KHDRBS1"	86	"HiG"
"HiG_2"	1365	"EIF4A1"	37	"HiG"
"HiG_2"	0	"BTG1"	316.5	"HiG"
"HiG_2"	0	"PRDX4"	316.5	"HiG"
"HiG_2"	0	"GADD45G"	316.5	"HiG"
"HiG_2"	0	"BOK"	316.5	"HiG"
"HiG_2"	0	"LMO4"	316.5	"HiG"
"HiG_2"	2	"CLIC1"	229	"HiG"
"HiG_2"	363	"BNIP3L"	116	"HiG"
"HiG_2"	13513	"ACTB"	2	"HiG"
"HiG_2"	0	"PTBP2"	316.5	"HiG"
"HiG_2"	738	"MYL6"	65	"HiG"
"HiG_2"	1676	"RBPMS"	26	"HiG"
"HiG_2"	3	"ITM2C"	225.5	"HiG"
"HiG_2"	2459	"HNRNPK"	21	"HiG"
"HiG_2"	0	"DCTPP1"	316.5	"HiG"
"HiG_2"	371	"BEX3"	109.5	"HiG"
"HiG_2"	116	"PDLIM7"	159	"HiG"
"HiG_2"	7321	"ACTG1"	5	"HiG"
"HiG_2"	277	"KRT18"	129	"HiG"
"HiG_2"	0	"BAMBI"	316.5	"HiG"
"HiG_2"	0	"COX17"	316.5	"HiG"
"HiG_2"	1514	"ACTN1"	31	"HiG"
"HiG_2"	0	"PHLDA1"	316.5	"HiG"
"HiG_2"	120	"DUT"	157.5	"HiG"
"HiG_2"	0	"BEX2"	316.5	"HiG"
"HiG_2"	0	"HSPB7"	316.5	"HiG"
"HiG_2"	78	"DUSP6"	168	"HiG"
"HiG_2"	633	"CALM2"	78	"HiG"
"HiG_2"	529	"CCND2"	88	"HiG"
"HiG_2"	762	"DDAH2"	62	"HiG"
"HiG_2"	42	"ARL6IP1"	184.5	"HiG"
"HiG_2"	0	"PAFAH1B3"	316.5	"HiG"
"HiG_2"	639	"VASP"	76	"HiG"
"HiG_2"	554	"BNIP3"	84	"HiG"
"HiG_2"	484	"CKB"	91	"HiG"
"HiG_2"	664	"RTN4"	72.5	"HiG"
"HiG_2"	210	"RBFOX2"	139	"HiG"
"HiG_2"	0	"PDLIM5"	316.5	"HiG"
"HiG_2"	2	"CTNNBIP1"	229	"HiG"
"HiG_2"	1114	"JUN"	48	"HiG"
"HiG_2"	1647	"HDAC1"	27	"HiG"
"HiG_2"	15608	"HSPA5"	1	"HiG"
"HiG_2"	81	"KIF5B"	167	"HiG"
"HiG_2"	0	"EIF1B"	316.5	"HiG"
"HiG_2"	48	"MORF4L2"	181	"HiG"
"HiG_2"	0	"TCEAL9"	316.5	"HiG"
"HiG_2"	1493	"DSTN"	32	"HiG"
"HiG_2"	2	"PPP1CB"	229	"HiG"
"HiG_2"	396	"LYAR"	98.5	"HiG"
"HiG_2"	458	"FKBP4"	93	"HiG"
"HiG_2"	12	"EIF3M"	210	"HiG"
"HiG_2"	48	"BRIX1"	181	"HiG"
"HiG_2"	0	"MYH7"	316.5	"HiG"
"HiG_2"	572	"CALR"	82	"HiG"
"HiG_2"	360	"NASP"	118	"HiG"
"HiG_2"	0	"FBLN1"	316.5	"HiG"
"HiG_2"	0	"BZW2"	316.5	"HiG"
"HiG_2"	162	"AK1"	146	"HiG"
"HiG_2"	216	"PAICS"	138	"HiG"
"HiG_2"	402	"FSCN1"	96	"HiG"
"HiG_2"	32	"ATP2A2"	191	"HiG"
"HiG_2"	0	"TRA2B"	316.5	"HiG"
"HiG_2"	548	"DYNLL1"	85	"HiG"
"HiG_2"	701	"DNAJB11"	67	"HiG"
"HiG_2"	1	"SSR3"	235.5	"HiG"
"HiG_2"	5976	"GAPDH"	8	"HiG"
"HiG_2"	0	"ATXN10"	316.5	"HiG"
"HiG_2"	911	"DNAJA1"	55	"HiG"
"HiG_2"	684	"GNAS"	69	"HiG"
"HiG_2"	0	"DDT"	316.5	"HiG"
"HiG_2"	2929	"DDX5"	14	"HiG"
"HiG_2"	61	"G3BP2"	176	"HiG"
"HiG_2"	12	"HNRNPH3"	210	"HiG"
"HiG_2"	1595	"PRMT1"	29	"HiG"
"HiG_2"	0	"PSPH"	316.5	"HiG"
"HiG_2"	167	"PA2G4"	145	"HiG"
"HiG_2"	330	"PDIA6"	122	"HiG"
"HiG_2"	0	"MEST"	316.5	"HiG"
"HiG_2"	2814	"NCL"	17	"HiG"
"HiG_2"	52	"HNRNPA3"	178	"HiG"
"HiG_2"	9	"FABP5"	213	"HiG"
"HiG_2"	4186	"ACTA1"	9	"HiG"
"HiG_2"	4	"CBX1"	222.5	"HiG"
"HiG_2"	115	"CCND1"	160	"HiG"
"HiG_2"	246	"GATA4"	133.5	"HiG"
"HiG_2"	373	"MAPK3"	103	"HiG"
"HiG_2"	0	"LSR"	316.5	"HiG"
"HiG_2"	0	"PKP2"	316.5	"HiG"
"HiG_2"	0	"PTOV1"	316.5	"HiG"
"HiG_2"	4	"BMP7"	222.5	"HiG"
"HiG_2"	333	"DDX39B"	121	"HiG"
"HiG_2"	185	"MAP1B"	142.5	"HiG"
"HiG_2"	41	"TGFB2"	187	"HiG"
"HiG_2"	3983	"HSP90AA1"	11	"HiG"
"HiG_2"	740	"SELENOS"	64	"HiG"
"HiG_2"	0	"TSEN34"	316.5	"HiG"
"HiG_2"	391	"ATP1A1"	100	"HiG"
"HiG_2"	160	"ID1"	147	"HiG"
"HiG_2"	0	"NEBL"	316.5	"HiG"
"HiG_2"	150	"FOXP1"	149	"HiG"
"HiG_2"	120	"SMARCD3"	157.5	"HiG"
"HiG_2"	1463	"ATP1B1"	34	"HiG"
"HiG_2"	2126	"HSPB2"	23	"HiG"
"HiG_2"	72	"ANKRD1"	169.5	"HiG"
"HiG_2"	0	"RALA"	316.5	"HiG"
"HiG_2"	0	"PFN2"	316.5	"HiG"
"HiG_2"	704	"DBN1"	66	"HiG"
"HiG_2"	21	"CST3"	199.5	"HiG"
"HiG_2"	404	"APOE"	95	"HiG"
"HiG_2"	0	"LRPAP1"	316.5	"HiG"
"HiG_2"	1196	"STMN1"	44	"HiG"
"HiG_2"	2772	"NKX2-5"	18	"HiG"
"HiG_2"	0	"CCDC141"	316.5	"HiG"
"HiG_2"	2	"ANK3"	229	"HiG"
"HiG_2"	16	"SAP30"	203.5	"HiG"
"HiG_2"	71	"MYBPC3"	171.5	"HiG"
"HiG_2"	12502	"ACTC1"	4	"HiG"
"HiG_2"	38	"GRB10"	189.5	"HiG"
"HiG_2"	227	"HMGA2"	136	"HiG"
"HiG_2"	0	"MAT2A"	316.5	"HiG"
"HiG_2"	0	"S100A10"	316.5	"HiG"
"HiG_2"	531	"RRM2"	87	"HiG"
"HiG_2"	91	"DEK"	165	"HiG"
"HiG_2"	880	"RBBP4"	58	"HiG"
"HiG_2"	4125	"HSP90B1"	10	"HiG"
"HiG_2"	1924	"RBBP7"	25	"HiG"
"HiG_2"	0	"HES1"	316.5	"HiG"
"HiG_2"	1450	"RRAD"	35	"HiG"
"HiG_2"	879	"CD81"	59	"HiG"
"HiG_2"	0	"IVNS1ABP"	316.5	"HiG"
"HiG_2"	6	"MDH1"	217.5	"HiG"
"HiG_2"	0	"TAX1BP3"	316.5	"HiG"
"HiG_2"	343	"LAPTM4A"	120	"HiG"
"HiG_2"	282	"ATP6V1F"	128	"HiG"
"HiG_2"	1218	"VIM"	42	"HiG"
"HiG_2"	41	"CRIP1"	187	"HiG"
"HiG_2"	0	"RRAS2"	316.5	"HiG"
"HiG_2"	3714	"UBC"	12	"HiG"
"HiG_2"	0	"ARL3"	316.5	"HiG"
"HiG_2"	664	"SFPQ"	72.5	"HiG"
"HiG_2"	0	"SNRPN"	316.5	"HiG"
"HiG_2"	1208	"CRYAB"	43	"HiG"
"HiG_2"	204	"DES"	140	"HiG"
"HiG_2"	135	"CSRP3"	152	"HiG"
"HiG_2"	0	"AMPH"	316.5	"HiG"
"HiG_2"	68	"MEF2C"	173	"HiG"
"HiG_2"	42	"COL2A1"	184.5	"HiG"
"HiG_2"	0	"DNAJC3"	316.5	"HiG"
"HiG_2"	1271	"JUND"	39	"HiG"
"HiG_2"	21	"ILF2"	199.5	"HiG"
"HiG_2"	25	"TOP1"	194	"HiG"
"HiG_2"	959	"ACVR2B"	54	"HiG"
"HiG_2"	3	"IGF2"	225.5	"HiG"
"HiG_2"	401	"NRP1"	97	"HiG"
"HiG_2"	0	"TEAD2"	316.5	"HiG"
"HiG_2"	12	"KRT8"	210	"HiG"
"HiG_2"	1490	"APEX1"	33	"HiG"
"HiG_2"	0	"ARID3B"	316.5	"HiG"
"HiG_2"	0	"BEX1"	316.5	"HiG"
"HiG_2"	23	"SPARC"	197	"HiG"
"HiG_2"	0	"GDI2"	316.5	"HiG"
"HiG_2"	653	"TGFB1I1"	75	"HiG"
"HiG_2"	0	"HMGN1"	316.5	"HiG"
"HiG_2"	0	"DOK4"	316.5	"HiG"
"HiG_2"	11	"MDK"	212	"HiG"
"HiG_2"	132	"MARCKS"	153	"HiG"
"HiG_2"	0	"PODXL"	316.5	"HiG"
"HiG_2"	15	"IGF2R"	206	"HiG"
"HiG_2"	0	"ARF4"	316.5	"HiG"
"HiG_2"	0	"ISL1"	316.5	"HiG"
"HiG_2"	0	"MMP14"	316.5	"HiG"
"HiG_2"	1178	"PDIA4"	45	"HiG"
"HiG_2"	0	"PEG3"	316.5	"HiG"
"HiG_2"	2139	"PRNP"	22	"HiG"
"HiG_2"	179	"CCT4"	144	"HiG"
"HiG_2"	638	"CCT8"	77	"HiG"
"HiG_2"	106	"CNN1"	162	"HiG"
"HiG_2"	8	"RAB6A"	214	"HiG"
"HiG_2"	2580	"TPM4"	20	"HiG"
"HiG_2"	0	"CSRP2"	316.5	"HiG"
"HiG_2"	371	"GATA5"	109.5	"HiG"
"HiG_2"	122	"GATA6"	156	"HiG"
"HiG_2"	0	"SH3BP1"	316.5	"HiG"
"HiG_2"	1554	"FHL1"	30	"HiG"
"HiG_2"	254	"PRDX1"	131.5	"HiG"
"HiG_2"	0	"MPZL1"	316.5	"HiG"
"HiG_2"	223	"CALD1"	137	"HiG"
"HiG_2"	0	"HOMER2"	316.5	"HiG"
"HiG_2"	6256	"ACTA2"	6	"HiG"
"HiG_2"	103	"FGF8"	163	"HiG"
"HiG_2"	5	"PSIP1"	220	"HiG"
"HiG_2"	0	"SNX6"	316.5	"HiG"
"HiG_2"	695	"TNNT2"	68	"HiG"
"HiG_2"	12996	"TPM1"	3	"HiG"
"HiG_2"	72	"COL18A1"	169.5	"HiG"
"HiG_2"	0	"EIF4A3"	316.5	"HiG"
"HiG_2"	798	"DLK1"	60	"HiG"
"HiG_2"	24	"PCLAF"	195.5	"HiG"
"HiG_2"	1012	"PKM"	52	"HiG"
"HiG_2"	110	"ENO3"	161	"HiG"
"HiG_2"	46	"ASB4"	183	"HiG"
"HiG_2"	0	"GMPS"	316.5	"HiG"
"HiG_2"	659	"GPX4"	74	"HiG"
"HiG_2"	0	"PGAM2"	316.5	"HiG"
"HiG_2"	0	"JOSD2"	316.5	"HiG"
"HiG_2"	1074	"TUBA1A"	50	"HiG"
"HiG_2"	1107	"CKAP4"	49	"HiG"
"HiG_2"	0	"MYL12B"	316.5	"HiG"
"HiG_2"	0	"ATXN7L3B"	316.5	"HiG"
"HiG_2"	0	"RPS4X"	316.5	"HiG"
"HiG_2"	7	"NOP58"	215	"HiG"
"HiG_2"	328	"MAGED2"	123.5	"HiG"
"HiG_2"	1249	"PGK1"	41	"HiG"
"HiG_2"	1250	"CSRP1"	40	"HiG"
"HiG_2"	742	"MYL9"	63	"HiG"
"HiG_2"	0	"PAIP2"	316.5	"HiG"
"HiG_2"	0	"HADH"	316.5	"HiG"
"HiG_2"	2867	"YWHAE"	15	"HiG"
"HiG_2"	371	"TSC22D1"	109.5	"HiG"
"HiG_2"	371	"CAP2"	109.5	"HiG"
"HiG_2"	0	"MEIS2"	316.5	"HiG"
"HiG_2"	0	"XBP1"	316.5	"HiG"
"HiG_2"	0	"PPP1R14C"	316.5	"HiG"
"HiG_2"	0	"CNN3"	316.5	"HiG"
"HiG_2"	185	"SSB"	142.5	"HiG"
"HiG_2"	26	"SDF2L1"	193	"HiG"
"HiG_2"	0	"HIGD1A"	316.5	"HiG"
